SERVICE_RH;ID_NAT_FRT;CLE_FRT_MINI;SURFACE_CADASTRALE;DOMANIAL;CADRE_LEGAL_GESTION;DATE_EXPIRATION_CONTRAT;CODE_CHORUS;CLASSEMENT_AGRICOLE;TYPE_COPROPRIETE;PROPRIO_CATEGORIE;PROPRIO_CCLIENT;PROPRIO_MOT_DIR;LIBELLE_ARTICLE;LIBELLE_STRICT;LIBELLE_USAGE;REPRESENTANT_CATEGORIE;REPRESENTANT_CCLIENT;REPRESENTANT_MOT_DIR;REPRESENTANT_COMMENTAIRE;REPRESENTANT_LIB;REPRESENTANT_CP;REPRESENTANT_COMMUNE;REGROUPEMENT_ID_NAT_FRT;REGROUPEMENT_LIBELLE;FORET_COMMENTAIRE;DEPARTEMENT_MAJORITAIRE;DATE_DEBUT_VALIDITE;DATE_FIN_VALIDITE
8020;F08573S;COLNIEDE;0;NON;NG;;;PLAINE;X;21;2,16801E+13;CFOCOLMAR;de;colmar niederwald;Forêt communale de Colmar Niederwald;2;2,16801E+13;CFOCOLMAR;;COMMUNE DE COLMAR ;68000;COLMAR;;;;68;01/01/1964;18/08/2011
8020;F08389Q;COLROTHL;0;NON;NG;;;PLAINE;X;21;2,16801E+13;CFOCOLMAR;de;colmar rothleible;Forêt communale de Colmar Rothleible;2;2,16801E+13;CFOCOLMAR;;COMMUNE DE COLMAR ;68000;COLMAR;;;;68;01/01/1964;18/08/2011
8020;F08759W;COLSTGI;0;NON;NG;;;PLAINE;X;21;2,16801E+13;CFOCOLMAR;de;colmar saint-gilles;Forêt communale de Colmar Saint-Gilles;2;2,16801E+13;CFOCOLMAR;;COMMUNE DE COLMAR ;68000;COLMAR;;;;68;01/01/1964;18/08/2011
8020;F08304J;CONSPROT;264,229;NON;RF;;;PLAINE;X;39;1,86804E+13;EGPRCOLMAR;du;consistoire protestant de colmar;Forêt du Consistoire Protestant De Colmar;2;1,86804E+13;EGPRCOLMAR;;CONSISTOIRE PROTESTANT DE COLMAR ;68000;COLMAR;;;;68;01/01/1964;31/12/9999
8020;F08425A;DDAUBENS;224,9463;OUI;RF;;172526/342234;;X;1;1,1007E+13;MINAGRI;de;daubensand;Forêt domaniale de Daubensand;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8020;F08924F;DESSENHE;440,9696;NON;RF;;;PLAINE;X;21;2,16801E+13;CFODESSENH;de;dessenheim;Forêt communale de Dessenheim;2;2,16801E+13;CFODESSENH;;COMMUNE de DESSENHEIM ;68600;DESSENHEIM;;;;68;01/01/1964;31/12/9999
8020;F08263U;DIEFFENT;92,0075;NON;RF;;;PLAINE;X;21;2,16701E+13;CFODIEFFTH;de;dieffenthal;Forêt communale de Dieffenthal;2;2,16701E+13;CFODIEFFTH;;COMMUNE de DIEFFENTHAL ;67650;DIEFFENTHAL;;;;67;01/01/1964;31/12/9999
8020;F09004H;DMARCKOL;324,7666;OUI;RF;;172971/343809;;X;1;1,1007E+13;MINAGRI;de;marckolsheim;Forêt domaniale de Marckolsheim;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8020;F08798J;DSCHOENA;88,6304;OUI;RF;;172981/344358;;X;1;1,1007E+13;MINAGRI;de;schoenau;Forêt domaniale de Schoenau;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8020;F08530B;DSELESTA;33,8422;OUI;RF;;172945/341896;;X;1;1,1007E+13;MINAGRI;de;sélestat;Forêt domaniale de Sélestat;1;6,62043E+13;ONFDG;;ETABLISSEMENT DIRECTION GENERALE L'O,N,F,;75570;PARIS CEDEX 12;;;;67;01/01/1964;31/12/9999
8020;F08554Z;DURRENEN;160,77;NON;RF;;;PLAINE;X;21;2,16801E+13;CFODURRENE;de;durrenentzen;Forêt communale de Durrenentzen;2;2,16801E+13;CFODURRENE;;COMMUNE de DURRENENTZEN ;68320;DURRENENTZEN;;;;68;01/01/1964;31/12/9999
8020;F08509G;EGCASU;3,5954;NON;RF;;;PLAINE;X;39;1,86803E+13;EGCASUND;de l';église catholique de sundhoffen;Forêt de l'Eglise Catholique De Sundhoffen;2;1,86803E+13;EGCASUND;;CONSEIL FABRIQUE - EGLISE CATHOLIQUE DE SUNDHOFFEN;68280;SUNDHOFFEN;;;;68;01/01/1964;31/12/9999
